gene_id,C1,C2,C3,C4,C5,D14-1,D14-2,D14-3,D14-4,D14-5,D2-1,D2-2,D2-3,D2-4,D2-5,D4-1,D4-2,D4-3,D4-4,D4-5,D7-2,D7-3,D7-4,D7-5
ENSMUSG00000000001,6486,5481,6583,7754,6880,7659,6684,9428,6185,6777,8311,6835,6878,8165,9345,5019,5506,6038,3630,5715,6349,6351,7301,6736
ENSMUSG00000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000028,183,152,177,200,190,169,126,101,136,128,565,460,544,603,618,323,325,468,299,200,132,143,148,169
ENSMUSG00000000037,39,28,19,26,19,12,8,14,5,5,45,24,24,25,24,30,100,75,81,32,44,20,14,29
ENSMUSG00000000049,15,3,0,5,3,10,7,0,0,8,0,0,5,0,5,5,0,8,3,0,0,7,3,0
ENSMUSG00000000056,1387,1041,1199,1493,1205,1485,1025,1079,574,1516,1443,1410,1064,1174,1490,980,881,1248,637,1094,1202,1308,1775,1014
ENSMUSG00000000058,19131,14687,16306,18570,15850,11852,13917,9811,11969,15952,10571,9823,10810,7587,11946,6229,5365,7630,4332,10477,14689,14662,15177,14184
ENSMUSG00000000078,9975,8576,10574,10538,10709,13256,23624,27049,23401,10805,12345,12447,12086,14170,14810,8915,9426,8245,6635,7336,11370,9896,10213,8631
ENSMUSG00000000085,2197,1581,1796,2196,1919,2026,1751,2715,1860,1801,1789,1666,1401,1396,1834,1412,1851,1521,1346,1447,1989,1715,2083,1996
ENSMUSG00000000088,2579,2292,2399,3218,2227,1941,2218,2391,2227,2087,3731,3516,3171,3385,4092,4285,5318,3422,5270,3059,2252,2380,2053,2478
ENSMUSG00000000093,19602,11980,12941,17602,14408,7360,11185,6599,10769,12546,10894,9432,12018,7344,10208,10407,10378,11062,12354,11213,15793,13781,14538,17946
ENSMUSG00000000094,5204,3261,3347,5113,4356,2963,5464,5042,4701,4701,3566,3126,3079,2434,3207,2428,1881,3038,1616,3391,4004,3192,3995,4410
ENSMUSG00000000103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000120,102,61,102,175,65,12,25,48,9,26,95,166,46,54,44,131,153,112,99,90,76,92,141,155
ENSMUSG00000000125,0,8,4,8,5,10,10,2,15,2,8,0,0,0,5,0,16,6,11,0,8,8,2,5
ENSMUSG00000000126,670,468,543,649,517,560,866,476,543,831,668,639,536,438,527,534,430,362,261,532,617,501,470,628
ENSMUSG00000000127,1147,920,1063,1260,1048,694,754,415,519,929,1147,908,956,904,1094,649,784,677,549,869,956,931,1082,930
ENSMUSG00000000131,2967,2358,2886,2959,2855,2590,3067,2930,2781,2850,3250,3213,2509,3524,4237,2229,2513,2627,2045,2328,2474,2874,3261,3106
ENSMUSG00000000134,2415,1814,2270,2746,2164,1950,1932,1850,1645,2208,3428,2990,3009,3492,3682,2560,2731,2413,2346,2077,2239,2150,2140,2167
ENSMUSG00000000142,2276,1510,1526,2098,1561,1678,1897,2284,1581,2403,1168,1106,878,834,1193,1310,1113,1362,1225,1565,1787,1516,1820,1910
ENSMUSG00000000148,1269,1132,1158,1282,1242,969,393,249,441,1045,1250,1196,1011,1039,1274,1129,1190,1133,1116,959,1152,1206,1380,1123
ENSMUSG00000000149,8044,6971,7556,8748,7999,4813,6138,7363,5038,5279,7029,6207,6326,5620,6999,5109,4872,6455,4141,5442,6208,5621,7091,5973
ENSMUSG00000000154,523,507,610,870,455,347,514,373,421,393,494,371,417,361,557,542,945,550,583,484,501,467,384,511
ENSMUSG00000000157,29,22,23,30,31,56,186,203,169,70,31,43,33,47,73,37,59,124,51,36,34,20,18,41
ENSMUSG00000000159,1194,1024,1147,1349,1003,1371,1598,1178,1710,1472,982,750,884,780,1148,823,1041,796,688,878,1068,1057,1096,961
ENSMUSG00000000167,295,202,311,362,199,353,389,253,256,327,231,186,188,143,253,416,968,420,651,343,296,333,433,454
ENSMUSG00000000168,2846,2192,2544,3429,2723,2349,2427,1608,1751,2285,2860,2554,2450,2262,2875,2529,3335,2322,2417,2551,2289,2410,2602,2738
ENSMUSG00000000171,4053,3538,4073,5224,3380,3825,4650,5958,4285,4166,5025,4579,4218,4121,5535,5786,7054,4974,5642,4336,3942,4075,4155,4241
ENSMUSG00000000182,0,0,2,0,6,0,0,0,0,0,20,11,22,136,51,0,2,0,0,0,0,0,2,0
ENSMUSG00000000183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
ENSMUSG00000000184,9833,8245,8893,8975,10276,4349,3279,2082,2973,5509,9153,8652,7066,9419,10831,4425,6024,7241,3529,5898,7234,7178,8777,6362
ENSMUSG00000000194,4647,4108,4485,5257,4790,3769,2665,1945,2570,4240,5175,4637,5251,4837,6035,4154,4173,4950,3583,4111,4110,4072,4491,4396
ENSMUSG00000000197,26,12,21,37,14,14,25,27,17,11,19,15,3,0,13,7,28,3,9,8,11,21,17,18
ENSMUSG00000000202,8,3,4,17,7,9,9,16,8,6,89,29,56,64,62,17,31,34,47,23,14,6,16,17
ENSMUSG00000000204,604,247,306,283,227,166,534,1911,1247,363,6671,8607,8004,17428,17132,1605,2233,1864,3540,670,1038,725,377,764
ENSMUSG00000000214,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,15,0,6,0,0
ENSMUSG00000000215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000216,9671,7830,8901,10161,9784,9500,8957,7785,8459,8660,7854,7053,7541,6276,9582,4629,5561,4101,4284,5066,7842,6542,6018,7107
ENSMUSG00000000223,60,21,36,48,48,28,36,70,39,10,23,77,21,22,25,17,98,31,55,77,47,38,37,36
ENSMUSG00000000244,386,372,427,442,302,111,131,101,155,172,403,422,381,310,368,741,793,532,694,494,439,587,411,504
ENSMUSG00000000247,8,3,5,0,5,0,0,8,0,3,10,14,5,18,27,0,6,19,7,3,0,0,5,0
ENSMUSG00000000248,9,2,6,4,11,0,4,3,1,2,6,8,4,4,5,14,6,18,3,12,9,7,11,10
ENSMUSG00000000253,840,703,802,993,697,579,725,698,589,669,729,616,686,391,753,1218,1511,964,1119,1054,675,749,889,790
ENSMUSG00000000263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000266,4463,3320,4209,3947,4554,2518,2673,2271,2092,3328,2425,2130,2217,1957,2695,1632,1473,2031,1459,2593,3806,3380,4121,3731
ENSMUSG00000000275,5822,5475,3753,7071,2453,4235,6661,6934,5155,3204,7420,6538,3259,3107,8095,4038,6511,8407,3234,5505,2967,1083,3886,3023
ENSMUSG00000000276,2349,1638,1961,1942,1647,1746,2100,1783,1833,2031,1213,1081,1090,866,1261,1143,1194,1207,1063,1387,1635,1534,1642,1672
ENSMUSG00000000278,2926,2078,2601,3219,2910,2417,2476,2614,2099,2162,3726,3193,2874,3046,3479,3662,3656,4480,3266,3338,2928,3343,3344,3064
ENSMUSG00000000282,2633,1668,1938,2658,2184,2916,3916,5256,3038,2772,2970,2637,2218,2226,2755,2085,2072,2180,1945,2011,2149,2077,2767,2090
ENSMUSG00000000290,7366,6183,8418,9383,9412,4938,7289,5744,3472,4760,17767,16298,13852,20320,21233,20027,16135,23243,13908,11699,7707,10363,11587,8457
ENSMUSG00000000295,265,255,274,298,246,229,313,243,278,282,263,185,242,197,286,307,496,268,383,229,242,268,295,234
ENSMUSG00000000296,88,57,65,109,54,79,83,136,117,110,50,51,55,57,44,82,109,61,75,81,56,113,52,95
ENSMUSG00000000301,120,90,87,141,71,60,47,98,63,71,139,109,125,95,161,89,135,89,123,99,62,78,88,71
ENSMUSG00000000303,22831,19785,22346,26130,22370,16825,21907,20819,20098,19206,21550,17043,19346,19520,25243,20611,33196,21613,21949,20279,23316,21410,21665,22714
ENSMUSG00000000305,347,269,267,272,278,153,183,226,187,216,187,172,179,135,203,198,205,302,153,220,282,276,382,278
ENSMUSG00000000308,815,730,842,1272,849,738,1047,970,836,794,1343,1029,1205,1016,1673,1373,1888,1353,1723,966,812,796,774,907
ENSMUSG00000000317,1840,1764,2778,2579,3387,594,314,85,269,855,2089,2954,2717,3346,4301,659,1190,1233,685,1012,2352,1755,1588,1421
ENSMUSG00000000318,297,166,233,331,204,142,147,149,113,98,189,317,199,193,213,488,776,446,534,291,424,329,424,409
ENSMUSG00000000320,661,497,473,564,455,596,672,368,1019,353,475,508,339,278,371,278,746,519,614,345,380,428,410,394
ENSMUSG00000000325,2479,1959,2212,2470,2237,1606,1949,1835,1255,1834,1146,1012,1170,640,1150,1357,1777,1319,1507,1668,2345,2037,1850,2426
ENSMUSG00000000326,5303,4310,4762,6236,4421,3346,3846,2963,3193,4693,4450,4176,4154,3790,5025,6188,5835,4836,4445,4423,4256,4798,4677,4605
ENSMUSG00000000339,1589,1219,1642,1877,1357,2008,2599,3815,2255,1800,1781,1457,1513,1473,1821,1519,1833,1600,1665,1408,1312,1410,1490,1452
ENSMUSG00000000340,1429,1277,1432,1798,1388,1743,2227,2279,1935,1729,1157,1139,1027,1049,1345,1206,1581,1061,1083,1344,1267,1351,1274,1278
ENSMUSG00000000346,18568,14738,18228,21261,17063,17003,24686,34984,22731,17694,17293,14566,15535,14011,18746,15317,18558,16216,15358,14959,16644,17686,17229,17925
ENSMUSG00000000355,588,430,538,634,446,306,315,262,331,391,669,561,613,585,694,702,1029,620,868,536,610,540,516,580
ENSMUSG00000000359,460,333,609,610,509,290,133,49,131,629,320,229,338,164,307,426,592,489,549,399,543,675,461,579
ENSMUSG00000000365,9,3,12,2,14,5,0,0,7,0,10,19,19,0,3,8,18,12,10,25,12,16,6,3
ENSMUSG00000000374,4815,4008,4550,5386,4736,5649,6871,8698,5019,5064,4690,4336,4086,4211,5278,2961,3859,3417,2260,3484,3574,3476,4443,3594
ENSMUSG00000000378,2528,1941,2747,3361,2508,1844,1208,857,1648,2309,2659,2388,2603,2330,3090,2479,2508,2530,2510,2073,2080,2636,2332,2252
ENSMUSG00000000381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000384,1075,760,1084,1220,884,944,857,1072,1030,1077,1123,1230,1176,1105,1271,1087,1318,892,1068,1029,1011,948,1034,1173
ENSMUSG00000000385,5089,4305,4717,5259,4206,4589,4985,4141,3364,5549,3681,3549,3363,2488,4445,3626,4964,3234,3496,3802,4768,4877,4958,4366
ENSMUSG00000000386,195,85,197,168,110,48,62,143,41,25,650,1138,559,874,1052,290,454,757,931,262,484,341,213,302
ENSMUSG00000000392,36,27,35,32,28,36,22,113,51,16,92,55,16,41,36,55,66,62,51,62,43,39,13,47
ENSMUSG00000000394,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000399,3356,2914,3103,4129,3033,2350,2206,1879,2638,2789,3665,3222,3220,3152,4051,3248,3695,3196,3042,3083,2789,2882,2705,2949
ENSMUSG00000000402,6015,5288,5983,6664,6360,1757,2440,2400,2344,3152,6430,5934,6396,5263,7229,7288,7973,6964,5081,6285,6369,8604,8176,5700
ENSMUSG00000000409,1407,911,1396,1372,1257,282,324,274,371,294,771,885,599,748,762,1330,1055,2021,1321,1176,1014,1340,1845,1946
ENSMUSG00000000411,3,3,4,3,2,2,12,47,19,2,0,2,3,5,5,12,4,2,5,0,2,6,11,2
ENSMUSG00000000416,710,494,642,523,755,107,156,186,207,320,204,191,174,179,204,267,397,264,256,391,728,704,603,755
ENSMUSG00000000420,6066,4797,5392,6576,6020,4371,4731,3877,3731,4935,7477,5564,6508,6791,7820,4493,5278,5932,4151,5377,5333,5690,6279,5951
ENSMUSG00000000435,0,2,0,0,2,2,4,0,0,2,2,0,0,0,0,6,4,5,4,11,0,2,0,0
