Ingenuity Canonical Pathways, -log(p-value),Ratio,z-score,Molecules
Endothelin-1 Signaling,5.96,0.0957,#NUM!,"ADCY4,ADCY8,ECE1,EDN1,EDNRB,GNAO1,GUCY1A1,GUCY1A2,GUCY1B1,PLCB4,PLCE1,PLCL1,PRKCE,PRKCG,PRKCH,PTGS1,RASD2,SHE"
Gap Junction Signaling,5.63,0.0909,#NUM!,"ADCY4,ADCY8,AKT3,CAV1,GRIA3,GUCY1A1,GUCY1A2,GUCY1B1,NPR3,PLCB4,PLCE1,PLCL1,PRKCE,PRKCG,PRKCH,PRKG1,RASD2,TJP1"
cAMP-mediated signaling,5.32,0.083,#NUM!,"ADCY4,ADCY8,AGTR1,AKAP12,AKAP5,Cngb1,DUSP4,GNAO1,GPR17,HRH3,MC5R,NPR3,OPRD1,PDE11A,PDE3A,PDE4B,PDE9A,RGS12,S1PR1"
G-Protein Coupled Receptor Signaling,5.27,0.0766,#NUM!,"ADCY4,ADCY8,AGTR1,AKT3,DUSP4,GNAO1,GPR17,HRH3,MC5R,NPR3,OPRD1,PDE11A,PDE3A,PDE4B,PDE9A,PLCB4,PRKCE,PRKCG,RASD2,RGS12,S1PR1"
Protein Kinase A Signaling,5.06,0.065,#NUM!,"ADCY4,ADCY8,AKAP12,AKAP5,Cngb1,DUSP4,DUSP8,H1-2,MYL12B,PDE11A,PDE3A,PDE4B,PDE9A,PLCB4,PLCE1,PLCL1,PRKCE,PRKCG,PRKCH,PTPN11,PTPN14,PTPRB,PTPRG,PTPRM,RHO,TNS2"
Nitric Oxide Signaling in the Cardiovascular System,4.46,0.111,#NUM!,"AKT3,CAV1,FLT1,FLT4,GUCY1A1,GUCY1A2,GUCY1B1,PRKCE,PRKCG,PRKCH,PRKG1"
PTEN Signaling,4.46,0.0956,#NUM!,"AKT3,BMPR2,FGFR3,FLT1,FLT4,FOXO3,FOXO6,ITGA1,ITGA6,MAGI1,PREX2,RASD2,TGFBR3"
Adrenomedullin signaling pathway,3.91,0.0761,#NUM!,"ADCY4,ADCY8,ADM,AKT3,GUCY1A1,GUCY1A2,GUCY1B1,NPR3,PLCB4,PLCE1,PLCL1,PRKG1,RAMP3,RASD2,SHE"
Regulation of the Epithelial-Mesenchymal Transition Pathway,3.49,0.0729,#NUM!,"AKT3,FGFR3,FZD4,LOX,NOTCH1,NOTCH3,NOTCH4,PARD6B,PDGFD,PTPN11,RASD2,WNT11,WNT2B,WNT9B"
Relaxin Signaling,3.41,0.0795,#NUM!,"ADCY4,ADCY8,AKT3,GNAO1,GUCY1A1,GUCY1A2,GUCY1B1,NPR3,PDE11A,PDE3A,PDE4B,PDE9A"
