File,Time,ID,Group,Linoleic acid,Palmitic acid,Arachidonic Acid,L-Tryptophan,Oleic acid,Taurine,L-Valine,Sebacic acid,?-Linolenic Acid,L-Lactate,Thymidine,Hippuric acid,Deoxyuridine,D-Glucose,"Glutathione, oxidized",Decatrienoic acid,5-Hydroxyindoleacetic acid,Cytidine,Capric acid,D-Lactose,Uridine,Succinimide,N-Acetyl-alpha-D-glucosamine 1-phosphate,Stearamide,Creatine,L-Carnitine,Palmitoyl-L-carnitine,Linoelaidyl carnitine,Arachidonic acid ethyl ester,Thymine,Carnosine
S1.mzdata,Day 0_1,C1,Day 0,163478716.1,78014890.78,83495315.06,128278297.7,218566870.3,212669275.7,51377884.04,57371198.6,7345643.775,26927702.29,37484188.6,1601622.356,26735894.18,11370625.93,8205.498452,4069542.36,312585.5159,3752192.897,1960965.014,1607954.908,891979.6674,58289.39162,65696.75868,1504762.157,6313736.142,6962171.729,8583060.054,7123556.083,1938301.722,13380771.23,614153.3009
S2.mzdata,Day 0_2,C2,Day 0,98174868.74,63929384.64,46175087.6,127581821.6,137813345.8,199001246,60407660.17,50943954.29,3608206.859,21694851.6,79453167.02,807133.9593,25606875.17,11876432.6,9503.348659,6203818.72,283671.1837,8975843.593,1840725.506,1272600.575,661046.3011,36935.92134,57616.55895,641268.8116,3519930.04,6848800.74,14528410.42,12888773.17,1620357.963,21414578.01,828359.6765
S3.mzdata,Day 0_3,C3,Day 0,120197691.6,79612113.26,67614682.99,146950773.6,158996677.9,236885867.5,69837787.22,40003771.06,5364893.628,24452991.38,127293680,549222.1519,37926088.57,15596968.07,0,5755355.177,409528.9071,14237085.41,1620581.066,1404555.872,794045.7693,62231.67534,93489.06976,895194.9829,6319547.983,7759433.066,19570950.95,10644930.83,1390774.577,27392286.91,995855.1468
S4.mzdata,Day 0_4,C4,Day 0,128733601.9,94593238.99,73729124.18,137623582.5,177218928.4,163503953.2,65717929.59,57876830.83,5959821.073,48155998.89,39767967.08,9038568.161,25619215.78,12857246.79,277336.4767,3508862.032,509831.11,8111477.096,1269629.867,1114062.497,871246.784,64668.32709,0,1135341.24,3374125.778,7108718.087,9493601.391,5498729.895,1668898.217,20753826.52,1140668.186
S5.mzdata,Day 0_5,C5,Day 0,82277005.35,78759015.45,44196820.51,125644789.6,89237001.01,147829247.9,66860491.92,65045404.81,3397994.139,16722648.22,92017463.96,855373.7493,34147467.91,14820107.51,12477.01477,5422284.932,520269.172,9906509.905,1292010.934,1195228.099,960638.7502,60435.06295,0,713983.7487,4259728.19,4735967.144,14903700.08,10003918.19,1050959.36,19114574.42,137104.2788
S10.mzdata,Day 2_1,D2-1,Day 2,35421283.57,22751341.1,25812034.41,99218303.7,42291899.66,429940690.9,20064817.48,389888.5113,1819676.386,59236390.08,68670535.54,6024956.781,32989955.94,17670690.95,1618633.307,1218108.769,1057383.524,7387360.231,808259.6931,287092.9235,363401.0886,17901.86593,284581.5829,2193576.732,29321377.09,10323242.08,7956462.449,12403935.71,6353748.16,24034525.4,2068028.558
S6.mzdata,Day 2_2,D2-2,Day 2,88131367.74,59983393.05,57860792.57,33762943.35,106775026.1,298534270.3,35699930.53,283720.6304,3269539.863,39375240.88,57516537.13,2748723.574,25789601.57,10312742.87,174788.8661,1691177.044,23709.54476,6062461.871,1964122.42,1343674.679,388727.3522,0,71238.50815,1467012.28,14217950.39,14754514.87,14198127.63,16501809.1,1950847.226,8227476.087,1043421.595
S7.mzdata,Day 2_3,D2-3,Day 2,14342742.37,107364990.3,31435792.16,97196667.28,46994996.39,259137957.4,19834635.97,241393.286,7490952.057,10782951.48,65357555.52,10783848.54,31120772.92,16874396.07,157656.9296,400807.4466,598768.6257,3019309.931,944704.5865,2143897.186,396899.061,33134.84548,26974.51238,2330217.351,14907132.56,8165694.112,3046197.858,3928198.273,2788299.882,10936335.69,1880757.454
S8.mzdata,Day 2_4,D2-4,Day 2,15456421.23,188014199,33936037.09,77611991.1,54859485.09,238029944.9,33652420.89,249032.347,22139363.56,11420544.44,70337560.25,653313.2624,28507351.47,11306411.68,192003.1169,488483.8567,460781.1324,7444190.541,1347025.172,561695.5793,403614.0595,0,0,2446632.409,6374832.648,2628738.428,8552013.077,7036640.802,3820550,12039960.7,453329.6907
S11.mzdata,Day 4_1,D4-1,Day 4,76124102.7,39188167.78,42295566.07,102527460,90855882.64,327450060.1,41382555.32,270185.4094,3078294.136,46170501.6,12561373.08,16164976.19,19791319.37,21815009.26,107436.6209,431077.0004,721534.7632,2414186.121,1017208.846,529840.1473,332311.8697,66834.09564,110022.3969,1607261.845,10075339.15,10336285,2836186.001,3055126.782,3977417.207,4699821.002,1865952.766
S12.mzdata,Day 4_2,D4-2,Day 4,25472388.04,37439096.83,19146145.1,74325840.39,40525546.74,376573666,29646108.03,283598.4107,1190157.447,29868533.87,18656688.86,30709997.19,22088406.48,25260574.61,553576.7001,421403.8226,2213320.256,2120132.842,723752.6223,916185.1229,399204.9861,131975.8243,101458.0782,1312595.505,10508276.7,8651794.483,2236164.733,1943268.464,5675940.822,7313371.432,1930243.767
S13.mzdata,Day 4_3,D4-3,Day 4,49277588.39,35961600.35,14327689.71,74376671.36,46385611,434568212.8,27027072.89,265571.5279,2599676.305,64596187.83,23424372.2,17237862.36,14022330.81,21690476.65,649142.8725,437535.7441,1600140.719,2452897.044,1065970.62,349815.0497,421535.3405,81965.16473,250161.1912,2454522.066,27125613.83,15431589.57,3396231.138,6122066.801,5761359.186,5912714.035,1845781.682
S14.mzdata,Day 4_4,D4-4,Day 4,66843454.49,45369928.1,31119531.25,73297630.16,100507948.6,483851418.2,30720530.98,271726.7643,4834490.728,52836038.56,31149517.58,38234499.56,16643265.1,19304707.22,1746853.73,944127.5166,1261463.707,3415104.292,1471077.761,422351.4067,841961.5288,106864.0488,345229.7331,2548855.174,15541410.16,7475347.571,1548299.269,2985172.456,3578804.804,7460812.949,2337145.409
S15.mzdata,Day 4_5,D4-5,Day 4,36040655,29219156.99,15695297.01,89682287.1,58729468.15,294489555.4,38377780.88,285535.1375,2189627.322,60253143.94,27296657.16,28122344.69,19197453.26,21686298.47,1506963.354,672024.2072,1834021.839,2818878.803,1085116.285,497026.8089,585502.0114,80059.76169,140323.6689,2577472.467,9555105.739,10451749.44,4023859.665,3946860.102,3179081.81,6458068.765,951920.0909
S17.mzdata,Day 7_2,D7-2,Day 7,23466563.33,78595225.65,41489085.28,82835116.34,86977016.98,385462112.1,25411440.92,277218.1839,4525915.31,40045228.14,36265816,26467500.43,29157850.19,16445776.14,907770.6701,734673.2141,1560231.887,3939594.437,1110312.349,378182.4621,389492.5838,70730.80023,156179.236,1471766.969,14725549.25,8737730.65,5657679.997,4874954.963,4697491.537,14609115.53,1344919.033
S18.mzdata,Day 7_3,D7-3,Day 7,20279259.56,22981040.56,6536432.968,81817746.34,41197948.1,503425704.3,41339444.09,346748.9021,1070296.421,69817502.36,47198976.13,12763968.45,43585432.45,29295783.42,345808.3204,563271.4367,3029712.061,12488028.31,979846.4961,2063560.106,436765.8508,157161.865,116460.7956,2720233.376,16052097.04,7878097.913,6009747.659,3183260.673,3019790.379,20311178.3,0
S19.mzdata,Day 7_4,D7-4,Day 7,19552385.09,132537491.4,35781527.66,94715251.39,75503864.11,405636504.2,26711263.67,247468.1939,14175147.59,24187390.19,38199545.56,13821653.97,35109113.01,14915260.98,861227.3838,829697.3408,1055188.858,8703459.994,1094256.841,545559.5536,420220.0458,73426.26063,92452.15354,2655312.476,12667012.54,7283864.134,9685135.416,5229640.89,2649191.517,10885457.17,2059374.848
S20.mzdata,Day 7_5,D7-5,Day 7,63041645.24,31677010.01,40805029.8,98432337.28,108906066.1,474607466.7,29303282.35,280853.1556,2493360.359,52179029.62,109949721.6,14759932.07,35797063.43,16428162.32,681466.9172,1183550.845,1447502.608,11788471.76,1343005.618,448601.7049,398661.4651,90097.02325,200080.274,1799345.598,11663756.73,7129301.48,10295276.66,8806888.332,4302454.241,17357407.85,1042338.077
