"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","CG0073","HP0001","HP0015","HP0047","HP0048","HP0069","HP0076","HP0077","Neisseria_cinerea_ATCC_14685","Neisseria_elongata_subsp_glycolytica_ATCC_29315","Neisseria_flavescens_NRL30031","Neisseria_gonorrhoeae_FA1090","Neisseria_lactamica_ATCC_23970","Neisseria_meningitidis_MC58","Neisseria_mucosa_ATCC_25996","Neisseria_polysaccharea_ATCC_43768","Neisseria_sicca_ATCC_29256","Neisseria_subflava_NJ9703","TT0073","TT0074"
"cysS","","Cysteine--tRNA ligase","20","20","1","1","5078","1","4761","","1334","1625","1419","HMOAHFMJ_01270","IDGDMJON_02101","JOFAMBFM_01048","PFGGLJGN_02061","CPIGLEMO_01072","HHMKECDE_00383","DCPLGDCJ_01074","AOPEFJLO_00099","NEICINOT_RS05965.p01","97242be58ea2b967d3a96d843ed5ca77_3964","NEIFLAOT_RS08945.p01","F9Z35_RS05570.p01","DR91_RS07025.p01","789e0afcaef373706e96bedeae961f4c_8403","43fe8da7603a91c46bb9b1b5b5435cfb_8969","NEIPOLOT_RS06325.p01","d9e11fc94d580b5feae8349fbaa657ca_2336","NEISUBOT_RS01340.p01","MGNOPCIE_02151","PAHHJFHK_02114"
"purH","","Bifunctional purine biosynthesis protein PurH","20","20","1","1","3355","1","4674","","737","1580","1537","HMOAHFMJ_01628","IDGDMJON_02373","JOFAMBFM_01302","PFGGLJGN_00472","CPIGLEMO_01708","HHMKECDE_00656","DCPLGDCJ_00792","AOPEFJLO_00391","NEICINOT_RS04710.p01","97242be58ea2b967d3a96d843ed5ca77_347","NEIFLAOT_RS04140.p01","F9Z35_RS10350.p01","DR91_RS05565.p01","789e0afcaef373706e96bedeae961f4c_3923","43fe8da7603a91c46bb9b1b5b5435cfb_8302","NEIPOLOT_RS09335.p01","d9e11fc94d580b5feae8349fbaa657ca_561","NEISUBOT_RS00015.p01","MGNOPCIE_00027","PAHHJFHK_01828"
"tyrS","","tyrosine--tRNA ligase","20","20","1","1","2556","1","3142","","1295","1298","1295","HMOAHFMJ_00578","IDGDMJON_01380","JOFAMBFM_00472","PFGGLJGN_01806","CPIGLEMO_01591","HHMKECDE_02038","DCPLGDCJ_01592","AOPEFJLO_01906","NEICINOT_RS05080.p01","97242be58ea2b967d3a96d843ed5ca77_5049","NEIFLAOT_RS09555.p01","F9Z35_RS06930.p01","DR91_RS06600.p01","789e0afcaef373706e96bedeae961f4c_7395","43fe8da7603a91c46bb9b1b5b5435cfb_8400","NEIPOLOT_RS14185.p01","d9e11fc94d580b5feae8349fbaa657ca_5707","NEISUBOT_RS03545.p01","MGNOPCIE_01568","PAHHJFHK_00376"
"gltX","","Glutamate--tRNA ligase","20","20","1","1","2998","1","1739","","1394","1394","1394","HMOAHFMJ_01116","IDGDMJON_01676","JOFAMBFM_00950","PFGGLJGN_02125","CPIGLEMO_01167","HHMKECDE_00277","DCPLGDCJ_01171","AOPEFJLO_02419","NEICINOT_RS05740.p01","97242be58ea2b967d3a96d843ed5ca77_695","NEIFLAOT_RS07740.p01","F9Z35_RS03735.p01","DR91_RS08280.p01","789e0afcaef373706e96bedeae961f4c_11","43fe8da7603a91c46bb9b1b5b5435cfb_3430","NEIPOLOT_RS04165.p01","d9e11fc94d580b5feae8349fbaa657ca_1522","NEISUBOT_RS01810.p01","MGNOPCIE_02059","PAHHJFHK_00105"
"hfq","","RNA-binding protein Hfq","20","20","1","1","336","1","7155","","263","296","293","HMOAHFMJ_01929","IDGDMJON_01002","JOFAMBFM_01539","PFGGLJGN_01434","CPIGLEMO_00553","HHMKECDE_00868","DCPLGDCJ_00546","AOPEFJLO_01630","NEICINOT_RS06715.p01","97242be58ea2b967d3a96d843ed5ca77_3942","NEIFLAOT_RS09275.p01","F9Z35_RS08340.p01","DR91_RS00880.p01","789e0afcaef373706e96bedeae961f4c_3000","43fe8da7603a91c46bb9b1b5b5435cfb_5544","NEIPOLOT_RS06870.p01","d9e11fc94d580b5feae8349fbaa657ca_9850","NEISUBOT_RS03095.p01","MGNOPCIE_00253","PAHHJFHK_00749"
"DR91_RS00440","","hypothetical protein","20","20","1","1","6194","1","4416","","146","269","191","HMOAHFMJ_02087","IDGDMJON_00885","JOFAMBFM_01663","PFGGLJGN_01312","CPIGLEMO_00441","HHMKECDE_00989","DCPLGDCJ_00428","AOPEFJLO_01516","NEICINOT_RS02470.p01","97242be58ea2b967d3a96d843ed5ca77_6075","NEIFLAOT_RS02050.p01","F9Z35_RS07885.p01","DR91_RS00440.p01","789e0afcaef373706e96bedeae961f4c_2682","43fe8da7603a91c46bb9b1b5b5435cfb_2615","NEIPOLOT_RS12660.p01","d9e11fc94d580b5feae8349fbaa657ca_9270","NEISUBOT_RS11500.p01","MGNOPCIE_00369","PAHHJFHK_00860"
"nrdA","","Ribonucleoside-diphosphate reductase 1 subunit alpha","20","20","1","1","1160","1","2799","","641","2315","2200","HMOAHFMJ_02628","IDGDMJON_00589","JOFAMBFM_01959","PFGGLJGN_01037","CPIGLEMO_00062","HHMKECDE_01354","DCPLGDCJ_00137","AOPEFJLO_01065","NEICINOT_RS01660.p01","97242be58ea2b967d3a96d843ed5ca77_2958","NEIFLAOT_RS03700.p01","F9Z35_RS02940.p01","DR91_RS03080.p01","789e0afcaef373706e96bedeae961f4c_5193","43fe8da7603a91c46bb9b1b5b5435cfb_5849","NEIPOLOT_RS10175.p01","d9e11fc94d580b5feae8349fbaa657ca_7699","NEISUBOT_RS07550.p01","MGNOPCIE_00854","PAHHJFHK_01166"
"gatB","","Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB","20","20","1","1","3153","1","4363","","1430","1430","1430","HMOAHFMJ_00073","IDGDMJON_00216","JOFAMBFM_00112","PFGGLJGN_00626","CPIGLEMO_01944","HHMKECDE_01630","DCPLGDCJ_01953","AOPEFJLO_00797","NEICINOT_RS00370.p01","97242be58ea2b967d3a96d843ed5ca77_4686","NEIFLAOT_RS02690.p01","F9Z35_RS02695.p01","DR91_RS03415.p01","789e0afcaef373706e96bedeae961f4c_5447","43fe8da7603a91c46bb9b1b5b5435cfb_8766","NEIPOLOT_RS09825.p01","d9e11fc94d580b5feae8349fbaa657ca_8048","NEISUBOT_RS06320.p01","MGNOPCIE_01128","PAHHJFHK_01568"
"nqrB","","NADH:ubiquinone reductase (Na(+)-transporting) subunit B","20","20","1","1","4008","1","5853","","1133","1232","1227","HMOAHFMJ_00527","IDGDMJON_01334","JOFAMBFM_00424","PFGGLJGN_01762","CPIGLEMO_01638","HHMKECDE_01992","DCPLGDCJ_01637","AOPEFJLO_01860","NEICINOT_RS02910.p01","97242be58ea2b967d3a96d843ed5ca77_7566","NEIFLAOT_RS06880.p01","F9Z35_RS10575.p01","DR91_RS10175.p01","789e0afcaef373706e96bedeae961f4c_2250","43fe8da7603a91c46bb9b1b5b5435cfb_8126","NEIPOLOT_RS12230.p01","d9e11fc94d580b5feae8349fbaa657ca_9032","NEISUBOT_RS03765.p01","MGNOPCIE_01522","PAHHJFHK_00421"
"NEIMUCOT_RS01110","","tRNA-Pro","20","20","1","1","5985","1","2328","","76","76","76","HMOAHFMJ_00016","IDGDMJON_00811","JOFAMBFM_01723","PFGGLJGN_01247","CPIGLEMO_01987","HHMKECDE_01585","DCPLGDCJ_00364","AOPEFJLO_00835","NEICINOT_RS02560.r01","97242be58ea2b967d3a96d843ed5ca77_8260","NEIFLAOT_RS05975.r01","F9Z35_RS07765.r01","DR91_RS00365.r01","789e0afcaef373706e96bedeae961f4c_2558","43fe8da7603a91c46bb9b1b5b5435cfb_9933","NEIPOLOT_RS12575.r01","d9e11fc94d580b5feae8349fbaa657ca_643","NEISUBOT_RS09345.r01","MGNOPCIE_01088","PAHHJFHK_00936"
